product_id,brand,model,body_type,year,price
1,Toyota,Toyota Yaris,Hatchback,2016,175000000
2,Toyota,Toyota Yaris,Hatchback,2018,215000000
3,Toyota,Toyota Yaris,Hatchback,2014,162000000
4,Toyota,Toyota Yaris,Hatchback,2020,220000000
5,Toyota,Toyota Yaris,Hatchback,2012,124000000
6,Toyota,Toyota Agya,Hatchback,2019,114000000
7,Toyota,Toyota Agya,Hatchback,2014,97000000
8,Toyota,Toyota Agya,Hatchback,2016,110000000
9,Toyota,Toyota Agya,Hatchback,2022,155500000
10,Toyota,Toyota Agya,Hatchback,2017,115500000
11,Toyota,Toyota Calya,Wagon,2019,130000000
12,Toyota,Toyota Calya,Wagon,2019,137000000
13,Toyota,Toyota Calya,Wagon,2017,115500000
14,Toyota,Toyota Calya,Wagon,2016,104000000
15,Toyota,Toyota Calya,Wagon,2016,107000000
16,Daihatsu,Daihatsu Ayla,Hatchback,2016,83000000
17,Daihatsu,Daihatsu Ayla,Hatchback,2019,120000000
18,Daihatsu,Daihatsu Ayla,Hatchback,2015,96000000
19,Daihatsu,Daihatsu Ayla,Hatchback,2017,115000000
20,Daihatsu,Daihatsu Ayla,Hatchback,2017,113000000
21,Daihatsu,Daihatsu Terios,SUV,2018,190000000
22,Daihatsu,Daihatsu Terios,SUV,2022,223000000
23,Daihatsu,Daihatsu Terios,SUV,2019,189900000
24,Daihatsu,Daihatsu Terios,SUV,2017,166000000
25,Daihatsu,Daihatsu Terios,SUV,2018,201000000
26,Daihatsu,Daihatsu Xenia,MPV,2019,170000000
27,Daihatsu,Daihatsu Xenia,MPV,2022,220500000
28,Daihatsu,Daihatsu Xenia,MPV,2017,135000000
29,Daihatsu,Daihatsu Xenia,MPV,2014,100000000
30,Daihatsu,Daihatsu Xenia,MPV,2018,159000000
31,Honda,Honda Jazz,Hatchback,2018,236000000
32,Honda,Honda Jazz,Hatchback,2019,250000000
33,Honda,Honda Jazz,Hatchback,2018,216000000
34,Honda,Honda Jazz,Hatchback,2015,192000000
35,Honda,Honda Jazz,Hatchback,2013,178000000
36,Honda,Honda CR-V,SUV,2018,415000000
37,Honda,Honda CR-V,SUV,2017,345000000
38,Honda,Honda CR-V,SUV,2009,116000000
39,Honda,Honda CR-V,SUV,2016,269000000
40,Honda,Honda CR-V,SUV,2018,398500000
41,Honda,Honda Civic,Hatchback,2018,350000000
42,Honda,Honda Civic,Sedan,2010,165000000
43,Honda,Honda Civic,Sedan,2013,186000000
44,Honda,Honda Civic,Sedan,2013,179000000
45,Honda,Honda Civic,Hatchback,2019,397500000
46,Suzuki,Suzuki Ertiga,MPV,2015,125000000
47,Suzuki,Suzuki Ertiga,MPV,2018,178000000
48,Suzuki,Suzuki Ertiga,MPV,2016,168000000
49,Suzuki,Suzuki Ertiga,MPV,2012,100000000
50,Suzuki,Suzuki Ertiga,MPV,2018,167000000
